"Name","Path","Group","SectionCount","HasContract","HasRuntimeSpecText"
"agastya","C:\ShadowEmpire-Git\directors\research\agastya.md","research","18","False","False"
"agni","C:\ShadowEmpire-Git\directors\production\agni.md","production","18","False","False"
"arjuna","C:\ShadowEmpire-Git\directors\production\arjuna.md","production","18","False","False"
"aruna","C:\ShadowEmpire-Git\directors\kernel\aruna.md","kernel","18","True","False"
"brahma","C:\ShadowEmpire-Git\directors\supreme_vision\brahma.md","supreme_vision","18","False","False"
"chanakya","C:\ShadowEmpire-Git\directors\strategy\chanakya.md","strategy","19","True","False"
"durga","C:\ShadowEmpire-Git\directors\strategy\durga.md","strategy","14","True","False"
"ganesha","C:\ShadowEmpire-Git\directors\research\ganesha.md","research","18","True","False"
"garuda","C:\ShadowEmpire-Git\directors\cinematic\garuda.md","cinematic","18","True","False"
"hanuman","C:\ShadowEmpire-Git\directors\cinematic\hanuman.md","cinematic","18","False","False"
"indra","C:\ShadowEmpire-Git\directors\cinematic\indra.md","cinematic","18","True","False"
"kama","C:\ShadowEmpire-Git\directors\distribution\kama.md","distribution","18","False","False"
"krishna","C:\ShadowEmpire-Git\directors\supreme_vision\krishna.md","supreme_vision","17","True","False"
"kubera","C:\ShadowEmpire-Git\directors\kernel\kubera.md","kernel","18","True","False"
"maya","C:\ShadowEmpire-Git\directors\production\maya.md","production","18","False","False"
"narada","C:\ShadowEmpire-Git\directors\strategy\narada.md","strategy","18","True","False"
"nataraja","C:\ShadowEmpire-Git\directors\cinematic\nataraja.md","cinematic","18","False","False"
"parashara","C:\ShadowEmpire-Git\directors\research\parashara.md","research","18","False","False"
"ravana","C:\ShadowEmpire-Git\directors\strategy\ravana.md","strategy","15","False","False"
"saraswati","C:\ShadowEmpire-Git\directors\distribution\saraswati.md","distribution","18","True","False"
"shakti","C:\ShadowEmpire-Git\directors\supreme_vision\shakti.md","supreme_vision","19","False","False"
"shiva","C:\ShadowEmpire-Git\directors\supreme_vision\shiva.md","supreme_vision","15","False","False"
"tumburu","C:\ShadowEmpire-Git\directors\production\tumburu.md","production","18","False","False"
"valmiki","C:\ShadowEmpire-Git\directors\research\valmiki.md","research","18","False","False"
"varuna","C:\ShadowEmpire-Git\directors\cinematic\varuna.md","cinematic","18","True","False"
"vishnu","C:\ShadowEmpire-Git\directors\supreme_vision\vishnu.md","supreme_vision","17","False","False"
"vishwakarma","C:\ShadowEmpire-Git\directors\production\vishwakarma.md","production","18","False","False"
"vyasa","C:\ShadowEmpire-Git\directors\research\vyasa.md","research","18","True","False"
"yama","C:\ShadowEmpire-Git\directors\kernel\yama.md","kernel","18","True","False"
"yudhishthira","C:\ShadowEmpire-Git\directors\strategy\yudhishthira.md","strategy","14","False","False"
