"Name","Path","Category","Format","RuntimePy","BadRoute","BadFence","WeakOwnerWorkflow"
"E-601-performance-analyst.skill.md","C:\ShadowEmpire-Git\skills\analytics\E-601-performance-analyst.skill.md","analytics","FULLDNA","True","False","False","False"
"E-602-feedback-analyst.skill.md","C:\ShadowEmpire-Git\skills\analytics\E-602-feedback-analyst.skill.md","analytics","FULLDNA","True","False","False","False"
"E-603-evolution-strategist.skill.md","C:\ShadowEmpire-Git\skills\analytics\E-603-evolution-strategist.skill.md","analytics","FULLDNA","True","False","False","False"
"M-091-lip-sync-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-091-lip-sync-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-092-avatar-rendering-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-092-avatar-rendering-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-093-visual-effects-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-093-visual-effects-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-094-color-grading-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-094-color-grading-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-095-motion-graphics-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-095-motion-graphics-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-096-transition-designer.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-096-transition-designer.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-097-pacing-optimizer.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-097-pacing-optimizer.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-098-final-edit-compiler.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-098-final-edit-compiler.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-099-quality-assurance-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-099-quality-assurance-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-100-safety-compliance-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-100-safety-compliance-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-101-decision-board.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-101-decision-board.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-102-escalation-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-102-escalation-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-103-strategic-alignment-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-103-strategic-alignment-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-104-executive-review-system.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-104-executive-review-system.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-105-publishing-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-105-publishing-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-106-upload-verification.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-106-upload-verification.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-107-algorithm-kickstart-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-107-algorithm-kickstart-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-108-engagement-booster.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-108-engagement-booster.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-109-comment-analyzer.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-109-comment-analyzer.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-110-reputation-monitor.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-110-reputation-monitor.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-111-feedback-learning-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-111-feedback-learning-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-112-strategy-refinement-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-112-strategy-refinement-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-113-empire-growth-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-113-empire-growth-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-114-resource-expansion-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-114-resource-expansion-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-115-automation-expansion-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-115-automation-expansion-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-116-skill-evolution-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-116-skill-evolution-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-117-intelligence-upgrade-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-117-intelligence-upgrade-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-118-empire-security-engine.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-118-empire-security-engine.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-119-redundancy-system.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-119-redundancy-system.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"M-120-supreme-orchestrator.skill.md","C:\ShadowEmpire-Git\skills\autonomous_loop\M-120-supreme-orchestrator.skill.md","autonomous_loop","FULLDNA","True","False","False","False"
"P-301-execution-context-engineer.skill.md","C:\ShadowEmpire-Git\skills\context_engineering\P-301-execution-context-engineer.skill.md","context_engineering","FULLDNA","True","False","False","False"
"P-302-platform-format-specialist.skill.md","C:\ShadowEmpire-Git\skills\context_engineering\P-302-platform-format-specialist.skill.md","context_engineering","FULLDNA","True","False","False","False"
"P-303-asset-brief-creator.skill.md","C:\ShadowEmpire-Git\skills\context_engineering\P-303-asset-brief-creator.skill.md","context_engineering","FULLDNA","True","False","False","False"
"P-304-lineage-chain-validator.skill.md","C:\ShadowEmpire-Git\skills\context_engineering\P-304-lineage-chain-validator.skill.md","context_engineering","FULLDNA","True","False","False","False"
