"Name/Label","Build Status","Gaps/Issues","Action Required"
"cwf_110_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_120_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_130_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_140_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_210_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_220_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_230_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_240_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_310_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_320_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_330_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_340_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_410_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_420_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_430_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_440_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_510_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_520_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_530_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_610_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_620_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"cwf_630_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_000_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_001_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_010_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_020_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_021_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_022_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_023_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_100_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_200_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_300_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_400_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_500_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_600_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
"wf_900_sub_agent.py","Fully Built","No blocking file-level gap detected; integration validation still pending.","Run sub-agent integration and route-binding validation."
