"Name/Label","Build Status","Gaps/Issues","Action Required"
"garuda","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"hanuman","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"indra","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"nataraja","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"varuna","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"kama","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"saraswati","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"aruna","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"kubera","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"yama","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"agni","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"arjuna","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"maya","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"tumburu","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"vishwakarma","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"agastya","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"ganesha","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"parashara","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"valmiki","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"vyasa","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"chanakya","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"durga","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"narada","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"ravana","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"yudhishthira","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"brahma","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"krishna","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"shakti","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"shiva","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
"vishnu","Fully Built","No blocking file-level contract gap detected; live n8n export validation still pending.","Run contract-schema validation and live workflow bind test in n8n."
